"gvkey","tic","conm","prccq"
16188,"CGNX","COGNEX CORP",84.9
16225,"WGP","WESTERN GAS EQUITY PRTNRS LP",43.02
16245,"PBCT","PEOPLE'S UNITED FINL INC",17.66
16269,"ENTA","ENANTA PHARMACEUTICALS INC",35.98
16305,"AGRPY","BARCLAYS AFRICA GROUP LTD",21.942
16348,"ISNPY","INTESA SANPAOLO SPA",18.997
16384,"VOYA","VOYA FINANCIAL INC",36.89
16401,"CRUS","CIRRUS LOGIC INC",62.72
16426,"ELFIF","E-L FINANCIAL CORP LTD",845
16428,"FRFHF","FAIRFAX FINANCIAL HOLDINGS",432.85
16431,"GWLIF","GREAT-WEST LIFECO INC",35.15
16432,"LRCDF","LAURENTIAN BANK OF CANADA",55.84
16453,"NEOG","NEOGEN CORP",63.29
16466,"KERMF","KERR MINES INC",0.25
16474,"JCOUF","JEAN COUTU GROUP",22.19
16477,"LEA","LEAR CORP",142.08
16478,"EOG","EOG RESOURCES INC",90.52
16480,"RSPI","RESPIRERX PHARMACEUTICALS",2
16485,"HUWX.1","HEATWURX INC -OLD",0.14
16486,"BCC","BOISE CASCADE CO",30.4
16500,"RCO.UN","MIDDLEFIELD CAN-GLOBAL REIT",11.5
16521,"VREYF","TORC OIL & GAS LTD",5.07
16522,"FARE","WORLD MOTO INC",8e-04
16524,"ATVK","AMERITEK VENTURES",1.25
16528,"EFRTF","NEXUS REIT",2.04
16531,"ZIXI","ZIX CORP",5.69
16549,"SFBS","SERVISFIRST BANCSHARES INC",36.89
16560,"AWCMY","ALUMINA LTD",5.891
16564,"WSCO","WALL STREET MEDIA CO",0.3
16582,"NTR","NUTRIEN LTD",16.3
16590,"HGKGY","POWER ASSETS HOLDINGS LTD",8.832
16597,"LSCC","LATTICE SEMICONDUCTOR CORP",6.66
16603,"3NSRGY","NESTLE SA/AG",87.14
16608,"WHF","WHITEHORSE FINANCE INC",13.37
16611,"POTRF","POTASH RIDGE CORP",0.22
16641,"ATAX","AMERICA FIRST MULTIFAMILY-LP",5.95
16653,"TMHC","TAYLOR MORRISON HOME CORP",24.01
16668,"AROW","ARROW FINANCIAL CORP",31.65
16671,"AAME","ATLANTIC AMERICAN CORP",3.75
16689,"NBN","NORTHEAST BANCORP/ME",20.35
16698,"BMTC","BRYN MAWR BANK CORP",42.5
16700,"RESI","ALTISOURCE RESIDENTIAL CORP",12.94
16702,"ATW.","ATMANCO INC",0.175
16705,"CPF","CENTRAL PACIFIC FINANCIAL CP",31.47
16710,"DGII","DIGI INTERNATIONAL INC",10.15
16714,"DGICA","DONEGAL GROUP INC",15.9
16716,"EMCI","EMC INSURANCE GROUP INC",27.78
16719,"BSTG","BIOSTAGE INC",0.412
16720,"AAMC","ALTISOURCE ASSET MGMT CORP",91.3992
16721,"EA","ELECTRONIC ARTS INC",105.72
16725,"KPTSF","KP TISSUE INC",14.21
16738,"HMHC","HOUGHTON MIFFLIN HARCOURT CO",12.3
16745,"PRTA","PROTHENA CORP PLC",54.12
16748,"CNBKA","CENTURY BANCORP INC/MA",63.6
16760,"SURP","SUREPURE INC",0.0185
16775,"CIA","CITIZENS INC",7.38
16777,"FBNC","FIRST BANCORP/NC",31.26
16781,"CHCO","CITY HOLDING CO",65.87
16790,"CBU","COMMUNITY BANK SYSTEM INC",55.77
16821,"FBP","FIRST BANCORP P R",5.79
16829,"PCLB","PINNACLE BANCSHARES",22
16832,"GBCI","GLACIER BANCORP INC",36.61
16845,"FRME","FIRST MERCHANTS CORP",40.14
16848,"RTRX","RETROPHIN INC",19.39
16854,"TTE.UN","TOP 20 EUROPE DIVIDEND TRUST",8.62
16878,"RELYQ","REAL INDUSTRY INC",2.9
16884,"OAKS","FIVE OAKS INVESTMENT CORP",4.88
16886,"HIIQ","HEALTH INSURANCE INNOVATIONS",23.5
16888,"IFSB","COLOMBO BANK",0.4
16889,"INDB","INDEPENDENT BANK CORP/MA",66.65
16890,"IBCP","INDEPENDENT BANK CORP/MI",21.75
16909,"SLTTF","SLATE OFFICE REIT",8
16947,"ATNM","ACTINIUM PHARMACEUTICALS INC",1.22
16957,"HARL","HARLEYSVILLE FINANCIAL CORP",22.4
16967,"HIFS","HINGHAM INSTN FOR SAVINGS",181.93
16972,"ANY","SPHERE 3D CORP",0.193
16976,"MXLGF","MX GOLD CORP",0.12
16981,"OFG","OFG BANCORP",10
16989,"PEBK","PEOPLES BANCORP NC INC",31.6
17010,"LSXMA","LIBERTY MEDIA SIRIUSXM GROUP",41.98
17012,"XONE","EXONE CO",11.45
17024,"IGAP","INTEGRITY APPLICATIONS INC",2
17029,"SLOT","SAN LOTUS HOLDING INC",0.4
17035,"MCY","MERCURY GENERAL CORP",54
17041,"AMXEF","AMEX EXPLORATION INC",0.14
17071,"ADHD","ALCOBRA LTD",1.12
17072,"NSEC","NATIONAL SEC GROUP INC",14.25
17073,"NWLI","NATIONAL WESTERN LIFE GROUP",319.62
17074,"NAVG","NAVIGATORS GROUP INC",54.9
17095,"ONB","OLD NATIONAL BANCORP",17.25
17101,"IMGN","IMMUNOGEN INC",7.11
17106,"PEBO","PEOPLES BANCORP INC/OH",32.13
17115,"SIGI","SELECTIVE INS GROUP INC",50.05
17120,"SIVB","SVB FINANCIAL GROUP",175.79
17131,"IHC","INDEPENDENCE HOLDING CO",20.45
17132,"WSFS","WSFS FINANCIAL CORP",45.35
17145,"WAFD","WASHINGTON FEDERAL INC",33.2
17150,"WBS","WEBSTER FINANCIAL CORP",52.22
17151,"WSBC","WESBANCO INC",39.54
17161,"GAYGF","GALWAY GOLD INC",0.0486
17168,"RBPAA","ROYAL BANCSHARES/PA  -CL A",4.23
17173,"ACNB","ACNB CORP",30.5
17175,"DMPI","DELMAR PHARMACEUTICALS INC",2.29
17180,"SNFCA","SECURITY NATL FINL CP  -CL A",6.375
17184,"SBCF","SEACOAST BANKING CORP/FL",24.1
17185,"XXII","22ND CENTURY GROUP INC",1.75
17187,"ACRVF","AGELLAN COMMERCIAL REIT",11.04
17192,"CMAUF","CHIBOUGAMAU INDEPENDNT MINES",0.075
17195,"FFBC","FIRST FINL BANCORP INC/OH",27.7
17199,"BLFS","BIOLIFE SOLUTIONS INC",2.39
17217,"ISEYF","WI2WI CORP",0.105
17239,"KND","KINDRED HEALTHCARE INC",11.65
17240,"TMP","TOMPKINS FINANCIAL CORP",78.72
17245,"TRST","TRUSTCO BANK CORP/NY",7.75
17248,"UBSI","UNITED BANKSHARES INC/WV",39.2
17252,"UFCS","UNITED FIRE GROUP INC",44.06
17269,"ASRV","AMERISERV FINANCIAL INC/PA",4.15
17277,"NVEE","NV5 GLOBAL INC",42.5
17285,"CWGL","CRIMSON WINE GROUP LTD",10.71
17287,"SBGL","SIBANYE-STILLWATER LIMITED",4.63
17306,"PFSI","PENNYMAC FINANCIAL SERVICES",16.7
17341,"ARTNA","ARTESIAN RESOURCES  -CL A",37.64
17349,"SKKY","SKKYNET CLOUD SYSTEMS INC",0.778
17350,"TTPH","TETRAPHASE PHARMACEUTICALS",7.13
17367,"AMNB","AMERICAN NATL BANKSHARES",36.95
17376,"MRIN","MARIN SOFTWARE INC",1.3
17379,"PDIV.","PURPOSE ENHNCD DIV FUND ETF",11.1
17380,"AHOTF","AMERICAN HOTEL INCM PROP LP",7.54
17384,"BYAGF","BANYAN GOLD CORP",0.125
17386,"SPVNF","SPECTRA7 MICROSYSTEMS INC",0.2987
17392,"ANAV","ALPHA NETWORK ALLIANCE VNTRS",0.1
17408,"NVGS","NAVIGATOR HOLDINGS LTD",8.3
17420,"ATLCY","ATLAS COPCO AB",34.513
17422,"PME","PINGTAN MARINE ENTERPRISE",3.95
17436,"BASFY","BASF SE",92.487
17438,"BDGE","BRIDGE BANCORP INC",33.3
17449,"KELTF","KELT EXPLORATION LTD",6.28
17451,"IBTX","INDEPENDENT BK GRP INC",59.5
17452,"DANOY","DANONE",15.012
17454,"KNOP","KNOT OFFSHORE PRTNRS LP",22.95
17485,"DRIO","DARIOHEALTH CORP",2.18
17487,"RPGIF","RAPIER GOLD INC",0.095
17491,"CMXC","CELL MEDX CORP",0.2926
17494,"MMMB","MAMAMANCINI'S HOLDINGS INC",0.9499
17498,"CMRX","CHIMERIX INC",5.45
17501,"THST","TRUETT-HURST INC",2.08
17515,"GKPRF","GATEKEEPER SYSTEMS INC",0.21
17534,"CCNE","CNB FINANCIAL CORP/PA",23.97
17550,"HAWK","BLACKHAWK NETWORK HLDGS INC",43.6
17553,"MODN","MODEL N INC",13.3
17556,"BPY","BROOKFIELD PROPERTY PRTRS LP",23.67
17567,"PETX","ARATANA THERAPEUTICS",7.23
17582,"HRR.UN","AUSTRALIAN REIT INCOME FUND",10.6
17586,"FSB","FRANKLIN FINL NETWORK INC",41.25
17589,"GDG.UN","GLOBAL DIVIDEND GROWERS INCM",11.96
17590,"IFL.UN","EDWOOD FLOATING RATE BOND FD",8.15
17592,"UCD.UN","FIRST ASSET MGSTR US CNS DEF",9.64
17594,"RBNC","RELIANT BANCORP INC",23.87
17597,"PTRC","PETRO RIVER OIL CORP",0.86
17602,"BHRB","BURKE & HERBERT BANK & TR CO",2135
17616,"BURCA","BURNHAM HOLDINGS INC",15.25
17626,"AHH","ARMADA HOFFLER PROPERTIES",12.95
17628,"EMES","EMERGE ENERGY SERVICES LP",9.01
17639,"AMH","AMERICAN HOMES 4 RENT",22.57
17641,"BKSC","BANK SOUTH CAROLINA CORP",20.2547
17651,"RZLT","REZOLUTE INC",1.13
17653,"ADMA","ADMA BIOLOGICS INC",3.7
17659,"CCFN","CCFNB BANCORP INC",48
17687,"HMTV","HEMISPHERE MEDIA GROUP INC",11.85
17689,"UCP","UCP INC",10.95
17695,"DATA","TABLEAU SOFTWARE INC",61.27
17696,"TSC","TRISTATE CAPITAL HLDGS INC",25.2
17700,"CBTC","CBT FINANCIAL CORP",37.1
17707,"WBBW","WESTBURY BANCORP INC",20.85
17708,"CANWF","ORCA GOLD INC",0.385
17715,"CVLY","CODORUS VALLEY BANCORP",28.4
17716,"AXIM","AXIM BIOTECHNOLOGIES INC",10.045
17720,"IVREF","INOVALIS REAL ESTATE INVT TR",10.1
17724,"CNOB","CONNECTONE BANCORP INC",22.55
17727,"EKSO","EKSO BIONICS HOLDINGS INC",2.32
17746,"NEEB","NEBRASKA BOOK HLDGS INC",0.0299
17754,"AEYE","AUDIOEYE INC",0.181
17769,"HASI","HANNON ARMSTRONG SUST INFR",22.87
17795,"CNAF","COMMERCIAL NATL FINL CP/PA",20.37
17807,"LITB","LIGHTINTHEBOX HLDG  -ADR",2.9
17808,"EPZM","EPIZYME INC",15.1
17811,"ECOM","CHANNELADVISOR CORP",11.55
17812,"HDS","HD SUPPLY HOLDINGS INC",40.3
17815,"BYBK","BAY BANCORP INC",7.6
17826,"NXE","NEXGEN ENERGY LTD",2.87
17828,"DDAIF","DAIMLER AG",72.51
17851,"CTMQF","NEWCASTLE GOLD LTD",0.9
17853,"WPTIF","WPT INDUSTRIAL REIT",13.21
17866,"EARN","ELLINGTON RESIDENTIAL MTG",14.66
17867,"FCUUF","FISSION URANIUM CORP",0.61
17873,"MR.UN","MELCOR REAL ESTATE INVT TR",8.86
17874,"TMUS","T-MOBILE US INC",60.62
17875,"NCBS","NICOLET BANKSHARES INC",54.71
17877,"CHMG","CHEMUNG FINANCIAL CORP",40.88
17878,"NRZ","NEW RESIDENTIAL INV CP",15.56
17890,"IKNX","IKONICS CORP",8.9792
17896,"HCAP","HARVEST CAPITAL CREDIT CORP",13.11
17897,"QIWI","QIWI PLC",24.68
17899,"SVRGF","SEVEN GENERATIONS ENERGY LTD",22.21
17910,"HTBX","HEAT BIOLOGICS INC",0.609
17912,"SFR","STARWOOD WAYPOINT HOMES",34.31
17917,"DIMN","DIAMANTE MINERALS INC",0.1143
17920,"ALLM","ALLIANCE BIOENERGY PLUS INC",0.38
17922,"AEGG","AMERICAN ENERGY GROUP LTD",0.04
17928,"IQV","IQVIA HOLDINGS INC",89.5
17931,"PTLA","PORTOLA PHARMACEUTICALS INC",56.17
17933,"PSXP","PHILLIPS 66 PARTNERS LP",49.42
17934,"SFM","SPROUTS FARMERS MARKET",22.67
17947,"GFI","GOLD FIELDS LTD",3.48
17956,"FI","FRANK'S INTL NV",8.29
17962,"ALYE","ALY ENERGY SERVICES INC",0.08
17985,"ELRN","GREENWOOD HALL INC",0.02
17987,"ESBK","ELMIRA SVGS BANK ELMIRA/NY",20.3
17997,"CSTM","CONSTELLIUM NV",6.9
17998,"BLUE","BLUEBIRD BIO INC",105.05
18003,"PGEM","PLY GEM HOLDINGS INC",17.95
18004,"CCS","CENTURY COMMUNITIES INC",24.8
18008,"ENBP","ENB FINANCIAL CORP",34.2
18009,"NSTG","NANOSTRING TECHNOLOGIES INC",16.54
18017,"TGRUF","ENCORE ENERGY CORP",0.045
18019,"BMIX","BRAZIL MINERALS INC",0.012
18033,"DRUNF","DREAM UNLIMITED CORP",7.36
18035,"EXSR","EXCHANGE BK SANTA ROSA CALIF",147
18036,"COMM","COMMSCOPE HOLDING CO INC",38.03
18037,"CZNC","CITIZENS & NORTHERN CORP",23.26
18040,"FRBK","REPUBLIC FIRST BANCORP INC",9.25
18043,"NWSA","NEWS CORP",13.7
18047,"NDLS","NOODLES & CO",3.9
18049,"FNB","F N B CORP/FL",14.16
18050,"LXFT","LUXOFT HOLDING INC",60.85
18066,"TLRA","TELARIA INC",2.49
18070,"BIMUF","PASCAL BIOSCIENCES INC",0.3
18071,"REXR","REXFORD INDUS REALTY",27.44
18073,"CHMI","CHERRY HILL MTG INVST",18.47
18082,"PWCO","PWRCOR INC",0.1
18086,"MNK","MALLINCKRODT PLC",44.81
18094,"FMBL","FARMERS & MERCHANTS BANK/CA",7650
18108,"FNJN","FINJAN HOLDINGS INC",3.28
18109,"JONE","JONES ENERGY INC",1.6
18110,"FFKT","FARMERS CAPITAL BANK CORP",38.55
18114,"TGEN","TECOGEN INC",3.33
18121,"ARTH","ARCH THERAPEUTICS INC",0.595
18144,"CCCR","CHINA COMMERCIAL CREDIT",3.2031
18145,"DOC","PHYSICIANS REALTY TR",20.14
18159,"AGIO","AGIOS PHARMACEUTICALS",51.45
18161,"CNAT","CONATUS PHARMACEUTICALS INC",5.76
18162,"ESPR","ESPERION THERAPEUTICS INC",46.28
18171,"NWHM","NEW HOME COMPANY INC",11.47
18172,"ONTX","ONCONOVA THERAPEUTICS INC",2.16
18173,"EVOK","EVOKE PHARMA INC",2.5586
18180,"ATBPF","ANTIBE THERAPEUTICS INC",0.09
18182,"FDBC","FIDELITY D & D BANCORP INC",44.25
18184,"NGHC","NATIONAL GENERAL HOLDINGS CP",21.1
18195,"FBAK","FIRST NATIONAL BANK ALASKA",1750
18204,"ANIP","ANI PHARMACEUTICALS INC",46.8
18230,"LFDEF","URTHECAST CORP",1.21
18231,"WTER","ALKALINE WATER COMPANY INC",1.49
18235,"SAEX","SAEXPLORATION HOLDINGS INC",3.23
18237,"CNAB","UNITED CANNABIS CORP",0.85
18240,"FTNW","FTE NETWORKS INC",0.63
18241,"FCF","FIRST COMMONWLTH FINL CP/PA",12.68
18247,"FNBG","FNB BANCORP CALIF",27.46
18253,"ERM.","ECLIPSE RES MTG INVESTMENT",10.18
18261,"ORM","OWENS REALTY MORTGAGE INC",16.96
18264,"FVCB","FVCBANKCORP INC",19.7
18270,"MBII","MARRONE BIO INNOVTIONS",1.29
18271,"YUME","YUME INC",4.7
18275,"CSHX","CASHMERE VALLEY BANK",53.35
18276,"THFF","FIRST FINANCIAL CORP/IN",47.3
18289,"ASC","ARDMORE SHIPPING CORP",8.15
18290,"DSS","DOCUMENT SECURITY SYS INC",0.7826
18291,"CTRL","CONTROL4 CORP",19.61
18293,"NYLD.A","NRG YIELD INC",17.06
18295,"USDF","US-DADI FERTILIZER IND INTL",0.004
18296,"PPRQF","CHOICE PRP REAL ESTATE INV",13.84
18301,"3FKYS","FIRST KEYSTONE CORP",27
18304,"SPSM","SPDR PORTFOLIO SMALL CAP ETF",83.29
18306,"SC","SANTANDER CONSUMER USA HLDGS",12.76
18307,"FLIC","FIRST LONG ISLAND CORP",28.6
18314,"IRMTF","INFORMATION SERVICES CORP",17.7
18315,"XON","INTREXON CORP",24.09
18320,"FOXF","FOX FACTORY HOLDING CP",35.6
18321,"CINR","CINER RESOURCES LP",27.4
18323,"OCSI","OAKTREE STRATEGIC INCOME CP",8.15
18326,"CACQ","CAESARS ACQUISITION CO",19.05
18329,"BUSE","FIRST BUSEY CORP",29.32
18330,"EFRMF","EAST AFRICA METALS INC",0.2
18339,"MYCC","CLUBCORP HOLDINGS INC",13.1
18342,"IOUFF","IOU FINL INC",0.2
18346,"VXSYF","VIXS SYSTEMS INC",0.2
18350,"OCRX","OCERA THERAPEUTICS INC",1.16
18351,"LWLCF","EQUINOX GOLD CORP",0.8613
18352,"ENCR","ENER-CORE INC",1.5
18358,"FUNC","FIRST UNITED CORP",14.9
18367,"RIHT","RIGHTSCORP INC",0.04
18370,"BGI.UN","BROOKFIELD GLBL INFRASTR SEC",7.19
18383,"BRX","BRIXMOR PROPERTY GROUP INC",17.88
18385,"FRAF","FRANKLIN FINANCIAL SVCS CORP",32
18386,"STRP","STRAIGHT PATH COMMUNICATIONS",128.86
18387,"CBDS","CANNABIS SATIVA INC",4.361
18388,"INPCF","INPUT CAPITAL CORP",2
18392,"CARO","CAROLINA FINANCIAL CORP",32.32
18398,"EAST","EASTSIDE DISTILLING INC",5.9
18424,"LPCN","LIPOCINE INC",4.02
18430,"FPRX","FIVE PRIME THERAPEUTICS INC",30.11
18431,"WNRL","WESTERN REFINING LGS LP",25.65
18434,"ALRS","ALERUS FINANCIAL CORP",19.18
18441,"TPRE","THIRD POINT REINSURANCE LTD",13.9
18465,"AR","ANTERO RESOURCES CORP",21.61
18466,"FUJHY","SUBARU CORP",16.848
18467,"FJTSY","FUJITSU LTD",36.837
18468,"PAGP","PLAINS GP HOLDINGS LP",26.16
18469,"FMI","FOUNDATION MEDICINE INC",39.75
18479,"JASN","JASON INDUSTRIES INC",1.29
18487,"FEYE","FIREEYE INC",15.21
18490,"NXTD","NXT-ID INC",1.87
18492,"VEND","GENERATION NXT FRNCHS BRANDS",0.86
18494,"IRT","INDEPENDENCE REALTY TRUST",9.87
18498,"MUSA","MURPHY USA INC",74.11
18509,"IPWR","IDEAL POWER INC",2.1
18510,"XLRN","ACCELERON PHARMA INC",30.39
18513,"TRSWF","TRANSALTA RENEWABLES INC",15.66
18533,"HBNC","HORIZON BANCORP/IN",26.35
18549,"CLRO","CLEARONE INC",9.425
18556,"CHGG","CHEGG INC",12.29
18561,"BNFT","BENEFITFOCUS INC",36.35
18562,"FATE","FATE THERAPEUTICS INC",3.24
18564,"AAOI","APPLIED OPTOELECTRONICS INC",61.79
18566,"IMNP","IMMUNE PHARMACEUTICALS INC",3.08
18572,"OPHT","OPHTHOTECH CORP",2.56
18573,"QTS","QTS REALTY TRUST INC",52.33
18578,"RMAX","RE/MAX HOLDINGS INC",56.05
18582,"GFELF","GOODFELLOW INC",7.4
18584,"FUEL","ROCKET FUEL INC",2.75
18587,"TNTMF","TRANSITION METALS CORP",0.175
18609,"ENZY","ENZYMOTEC LTD",8.1
18616,"CANN","GENERAL CANNABIS CORP",1.95
18619,"VRRKF","VERSABANK",4.7
18624,"PINC","PREMIER INC",36
18626,"GLOB","GLOBANT SA",43.44
18629,"LGIH","LGI HOMES INC",40.18
18630,"RNG","RINGCENTRAL INC",36.55
18632,"LOGG","LIFELOGGER TECHNOLOGIES CORP",0.0211
18635,"FGL","FIDELITY & GUARANTY LIFE",31.05
18636,"DEO","DIAGEO PLC",119.83
18638,"NTRP","NEUROTROPE INC",9.37
18654,"HDNG","HARDINGE INC",12.42
18658,"MGNX","MACROGENICS INC",17.51
18660,"EPE","EP ENERGY CORP",3.66
18666,"TRXC","TRANSENTERIX INC",0.71
18672,"CRSXF","CORSA COAL CORP",1.1379
18675,"BURL","BURLINGTON STORES INC",98.92
18677,"PEGI","PATTERN ENERGY GROUP INC",23.84
18683,"SAIC","SCIENCE APPLICATIONS INTL CP",72.99
18684,"AROSF","AURORA SPINE CORP",0.104
18685,"ACAN","AMERICANN INC",2.58
18689,"VEEV","VEEVA SYSTEMS INC",53.62
18695,"CBFV","CB FINANCIAL SERVICES INC",25.95
18699,"PTC","PTC INC",55.12
18700,"CTRRF","CT REAL ESTATE INVESTMENT TR",14.38
18724,"KEWL","KEWEENAW LAND ASSN LTD",105
18729,"KNBWY","KIRIN HOLDINGS CO LTD",20.372
18732,"LKFN","LAKELAND FINANCIAL CORP",45.88
18734,"JOEY","JOEY NEW YORK INC",1
18738,"SPEX","SPHERIX INC",2.6
18745,"ESNT","ESSENT GROUP LTD",37.14
18748,"VJET","VOXELJET AG",4.36
18749,"AERI","AERIE PHARMACEUTICALS INC",52.55
18750,"CRTO","CRITEO SA",49.05
18765,"WLKR","WALKER INNOVATION INC",0.41
18774,"VLP","VALERO ENERGY PARTNERS LP",45.64
18779,"CPTA","CAPITALA FINANCE CORP",13.01
18783,"DE.","DECISIVE DIVIDEND CORP",4.22
18786,"PROP","PLEDGE PETROLEUM CORP",0.02
18792,"GLPI","GAMING & LEISURE PPTYS",37.67
18838,"CUDA","BARRACUDA NETWORKS INC",21.92
18839,"PBPB","POTBELLY CORP",11.5
18842,"TCS","CONTAINER STORE GROUP",5.92
18844,"SEII","SHARING ECONOMY INTL INC",4.49
18850,"ESBA","EMPIRE STATE REALTY OP LP",20.77
18854,"IOFB","IOWA FIRST BANCSHARES CORP",41.25
18866,"ARCX","ARC LOGISTICS PARTNERS LP",15.19
18868,"OCIP","OCI PARTNERS LP",8.85
18869,"WIX","WIX.COM LTD",69.6
18870,"OPVS","NANOFLEX POWER CORP",0.45
18872,"TWTR","TWITTER INC",17.87
18874,"COSM","COSMOS HOLDINGS INC",0.66
18875,"EXPI","EXP WORLD HOLDINGS INC",2.8
18878,"GLYC","GLYCOMIMETICS INC",11.16
18885,"NXGH","NEXT GROUP HOLDINGS INC",0.0575
18890,"WCVC","WEST COAST VENTURES GRP CP",1.9
18892,"TKAT","TAKUNG ART CO LTD",5.2185
18894,"BCRH","BLUE CAP REINSURANCE",18.3
18899,"TNDM","TANDEM DIABETES CARE INC",0.8
18925,"TRVN","TREVENA INC",2.3
18926,"DLNG","DYNAGAS LNG PARTNERS LP",15.29
18930,"KPTI","KARYOPHARM THERAPEUTICS INC",9.05
18936,"VTL","VITAL THERAPIES INC",2.9
18938,"XNCR","XENCOR INC",21.11
18946,"MFBP","M&F BANCORP INC",5.98
18947,"VCYT","VERACYTE INC",8.33
18952,"DTLA.P","BROOKFLD DTLA OFFICE TR INV",25.5
18978,"STKS","THE ONE GROUP HOSPITALITY",2.17
18982,"EGLT","EGALET CORP",2.37
18983,"OXFD","OXFORD IMMUNOTEC GLOBAL PLC",16.82
19000,"MMI","MARCUS & MILLICHAP INC",26.36
19021,"PKIN","PEKIN LIFE INSURANCE CO",12.59
19023,"NACB","NATIONAL CAPITAL BANK/WA",185
19025,"REPH","RECRO PHARMA INC",7.03
19026,"WUBA","58.COM INC  -ADR",44.11
19033,"MOXC","MOXIAN INC",3.19
19042,"WBAI","500.COM LTD  -ADR",10.89
19044,"VRNS","VARONIS SYSTEMS INC",37.2
19057,"MBTF","MBT FINANCIAL CORP",9.7
19074,"MENXF","MEMEX INC",0.195
19079,"TMMFF","TMAC RESOURCES INC",14.52
19084,"AHP","ASHFORD HOSPITALITY PRME INC",10.29
19092,"MYBF","MUNCY BANK FINANCIAL INC",35.5
19093,"APTY","APT SYSTEMS INC",0.0029
19094,"NBTB","N B T BANCORP INC",36.95
19107,"BANX","STONECASTLE FINANCIAL CORP",20.4
19113,"NSANY","NISSAN MOTOR CO LTD",19.9
19116,"RXDX","IGNYTA INC",10.35
19117,"BIOC","BIOCEPT INC",1.37
19124,"NASB","NASB FINANCIAL INC",36.25
19129,"HNRG","HALLADOR ENERGY CO",7.77
19135,"BPSR","BIOTECH PRODS SRVCS RESEARCH",0.0122
19137,"OVBC","OHIO VALLEY BANC CORP",36.05
19138,"SNYR","SYNERGY CHC CORP",0.47
19143,"KIN","KINDRED BIOSCIENCES INC",8.6
19149,"RARE","ULTRAGENYX PHARMACEUTICAL",62.11
19150,"OSBC","OLD SECOND BANCORP INC/IL",11.55
19151,"TI","TELECOM ITALIA SPA",9.35
19154,"CARA","CARA THERAPEUTICS INC",15.39
19159,"PWOD","PENNS WOODS BANCORP INC",41.18
19163,"STAY","EXTENDED STAY AMERICA INC",19.36
19168,"TACO","DEL TACO RESTAURANTS INC",13.75
19171,"RSPP","RSP PERMIAN INC",32.27
19172,"AMRK","A-MARK PRECIOUS METALS INC",16.3867
19175,"VNCE","VINCE HOLDING CORP",1
19184,"CELP","CYPRESS ENERGY PARTNERS LP",7.47
19189,"SMLR","SEMLER SCIENTIFIC INC",3.1
19191,"GENGF","GEAR ENERGY LTD",0.74
19205,"CAPR","CAPRICOR THERAPEUTICS INC",0.8299
19209,"NTIC","NORTHERN TECH INTL",17
19262,"CTBI","COMMUNITY TRUST BANCORP INC",43.75
19267,"DRTTF","DIRTT ENVIRONMENTL SOLUTIONS",6.85
19272,"TXHD","TEXTMUNICATION HOLDINGS INC",9e-04
19273,"ENBL","ENABLE MIDSTREAM PARTNERS LP",15.94
19274,"INGN","INOGEN INC",95.42
19275,"BRG","BLUEROCK RESIDENTIAL GROWTH",12.89
19293,"FISOF","FISSION 3.0 CORP",0.07
19295,"ATHM","AUTOHOME INC  -ADR",45.36
19296,"CQH","CHENIERE ENERGY PTNRS LP LLC",26.88
19305,"PLPC","PREFORMED LINE PRODUCTS CO",46.42
19309,"ALVOF","ALVOPETRO ENERGY LTD",0.1427
19317,"AAGH","AMERICA GREAT HEALTH",0.008
19318,"PRK","PARK NATIONAL CORP",103.72
19323,"CCNCF","KAIZEN DISCOVERY INC",0.155
19331,"GKIT","GREENKRAFT INC",0.12
19349,"SIEGY","SIEMENS AG",68.633
19350,"ESES","ECO-STIM ENERGY SOLUTIONS",1.25
19352,"CRCM","CARE.COM INC",15.1
19355,"SFNC","SIMMONS FIRST NATL CP  -CL A",52.9
19359,"CRLFF","CARDINAL ENERGY LTD",4.82
19366,"SOME","SOMERSET TRUST HOLDING CO",41.75
19375,"LTY.","LIBERTY BIOPHARMA INC",0.165
19377,"RICE","RICE ENERGY INC",26.63
19378,"FRLF","FREEDOM LEAF INC",0.05
19391,"MBUU","MALIBU BOATS INC",25.87
19392,"ACZ.UN","AMERICAN CORE SECTORS DIV FD",11.13
19393,"NGI.UN","NDX GROWTH & INCOME FUND",8.02
19398,"DENN","DENNYS CORP",11.77
19402,"GIII","G-III APPAREL GROUP LTD",23.7
19412,"ITCI","INTRA-CELLULAR THERAPIES INC",12.42
19417,"CXRX","CONCORDIA INTERNATIONAL CORP",1.56
19425,"GNCA","GENOCEA BIOSCIENCES INC",5.22
19428,"GSBC","GREAT SOUTHERN BANCORP",53.5
19431,"PPIH","PERMA-PIPE INTERNATIONAL HOL",8.0294
19433,"PHX","PANHANDLE OIL & GAS INC",23.1
19440,"LADR","LADDER CAPITAL CORP",13.41
19442,"CBPX","CONTINENTAL BUILDING PRODS",23.3
19447,"PDDPF","PEDIAPHARM INC",0.28
19458,"EBIO","ELEVEN BIOTHERAPEUTICS INC",1.57
19460,"SINC.1","SINCERITY APP MTRL HLDG -OLD",1.2
19467,"COCPD","COCRYSTAL PHARMA INC",0.2233
19468,"DELAF","FIRM CAPITAL AMER REALTY PRT",6
19470,"DRNA","DICERNA PHARMACEUTICALS INC",3.17
19471,"RVNC","REVANCE THERAPEUTICS INC",26.4
19484,"FTAI","FORTRESS TRANS INFRASTR INVS",15.94
